title,author,isbn,published_year,category_id,description,available
The Great Gatsby,F. Scott Fitzgerald,978-0743273565,1925,1,A classic novel of love and the American Dream,3
To Kill a Mockingbird,Harper Lee,978-0061120084,1960,1,A gripping tale of racial injustice and innocence,2
1984,George Orwell,978-0451524935,1949,2,A dystopian novel about totalitarianism,4
Pride and Prejudice,Jane Austen,978-0141439518,1813,1,A timeless romance and social commentary,3
The Catcher in the Rye,J.D. Salinger,978-0316769174,1951,1,A coming-of-age story in New York City,2
Brave New World,Aldous Huxley,978-0060085345,1932,2,A futuristic vision of a controlled society,5
The Hobbit,J.R.R. Tolkien,978-0547928227,1937,3,An epic fantasy adventure,4
Dune,Frank Herbert,978-0441013593,1965,3,An intricate space opera with politics and ecology,3
Foundation,Isaac Asimov,978-0553293357,1951,2,The dawn of a new galactic civilization,2
The Lord of the Rings,J.R.R. Tolkien,978-0544003415,1954,3,The ultimate fantasy epic,6
